Associated Gene Name	Ensembl Gene ID
mt-Tp	ENSMUSG00000064372
mt-Tt	ENSMUSG00000064371
mt-Cytb	ENSMUSG00000064370
mt-Te	ENSMUSG00000064369
mt-Nd6	ENSMUSG00000064368
mt-Nd5	ENSMUSG00000064367
mt-Tl2	ENSMUSG00000064366
mt-Ts2	ENSMUSG00000064365
mt-Th	ENSMUSG00000064364
mt-Nd4	ENSMUSG00000064363
mt-Nd4l	ENSMUSG00000065947
mt-Tr	ENSMUSG00000064361
mt-Nd3	ENSMUSG00000064360
mt-Tg	ENSMUSG00000064359
mt-Co3	ENSMUSG00000064358
mt-Atp6	ENSMUSG00000064357
mt-Atp8	ENSMUSG00000064356
mt-Tk	ENSMUSG00000064355
mt-Co2	ENSMUSG00000064354
mt-Td	ENSMUSG00000064353
mt-Ts1	ENSMUSG00000064352
mt-Co1	ENSMUSG00000064351
mt-Ty	ENSMUSG00000064350
mt-Tc	ENSMUSG00000064349
mt-Tn	ENSMUSG00000064348
mt-Ta	ENSMUSG00000064347
mt-Tw	ENSMUSG00000064346
mt-Nd2	ENSMUSG00000064345
mt-Tm	ENSMUSG00000064344
mt-Tq	ENSMUSG00000064343
mt-Ti	ENSMUSG00000064342
mt-Nd1	ENSMUSG00000064341
mt-Tl1	ENSMUSG00000064340
mt-Rnr2	ENSMUSG00000064339
mt-Tv	ENSMUSG00000064338
mt-Rnr1	ENSMUSG00000064337
mt-Tf	ENSMUSG00000064336
Dync1i1	ENSMUSG00000029757
Gm11273	ENSMUSG00000079941
Gm6792	ENSMUSG00000053367
Nlrp14	ENSMUSG00000016626
Zfp389	ENSMUSG00000082396
Gm14272	ENSMUSG00000085426
Fbxw17	ENSMUSG00000037816
Rps27l	ENSMUSG00000036781
A630081D01Rik	ENSMUSG00000102721
Gm14641	ENSMUSG00000087100
Gm37645	ENSMUSG00000103192
Srl	ENSMUSG00000022519
Gm15678	ENSMUSG00000083000
Gm595	ENSMUSG00000079606
Gm17023	ENSMUSG00000091443
Zbtb34	ENSMUSG00000068966
Dock10	ENSMUSG00000038608
Zfp30	ENSMUSG00000047473
Pcid2	ENSMUSG00000038542
Gm36978	ENSMUSG00000103269
Rpl21-ps6	ENSMUSG00000059912
BC094916	ENSMUSG00000070501
Gm9946	ENSMUSG00000054488
Rps8-ps4	ENSMUSG00000074547
Pde6g	ENSMUSG00000025386
Gm15885	ENSMUSG00000083585
Them4	ENSMUSG00000028145
Frmd8	ENSMUSG00000024816
Klhdc2	ENSMUSG00000020978
Fut9	ENSMUSG00000055373
Gm15544	ENSMUSG00000081664
Gstp2	ENSMUSG00000038155
Gm7292	ENSMUSG00000104222
1700067K01Rik	ENSMUSG00000046408
1700030F04Rik	ENSMUSG00000099869
Gm37831	ENSMUSG00000104451
Gm43835	ENSMUSG00000104961
Gm42566	ENSMUSG00000104806
Wdr54	ENSMUSG00000030032
Adrbk2	ENSMUSG00000042249
Gm18692	ENSMUSG00000104185
Nutm2	ENSMUSG00000071909
Oxld1	ENSMUSG00000039670
Gm37721	ENSMUSG00000103954
Trib1	ENSMUSG00000032501
Fgfr3	ENSMUSG00000054252
Gm6358	ENSMUSG00000068071
Cbln4	ENSMUSG00000067578
Gm8739	ENSMUSG00000101136
B3galt5	ENSMUSG00000074892
Ddx20	ENSMUSG00000027905
BC021614	ENSMUSG00000058216
Scgb2b3	ENSMUSG00000078754
Zfp119b	ENSMUSG00000062101
Fam221b	ENSMUSG00000043633
4933416E14Rik	ENSMUSG00000086996
Setdb2	ENSMUSG00000071350
Gtf2h2	ENSMUSG00000021639
Gm10061	ENSMUSG00000059113
Gm21816	ENSMUSG00000096870
Gm15850	ENSMUSG00000086264
Gm14271	ENSMUSG00000087409
Gm37311	ENSMUSG00000103049
Gm38071	ENSMUSG00000103916
Agtr1a	ENSMUSG00000049115
Gm17022	ENSMUSG00000091784
Gm3716	ENSMUSG00000105402
C130023A14Rik	ENSMUSG00000102854
Nrgn	ENSMUSG00000053310
Gm14274	ENSMUSG00000083793
9530003O04Rik	ENSMUSG00000102267
Clec4a3	ENSMUSG00000043832
Gm36963	ENSMUSG00000103932
Frmd8os	ENSMUSG00000043488
S100a7a	ENSMUSG00000063767
Mir99ahg	ENSMUSG00000090386
Yme1l1	ENSMUSG00000026775
Gm10298	ENSMUSG00000070606
Mc3r	ENSMUSG00000038537
Gm7713	ENSMUSG00000071750
Olfr1235-ps1	ENSMUSG00000084295
Tmem8b	ENSMUSG00000078716
Gm11369	ENSMUSG00000083882
Gm11823	ENSMUSG00000086927
Gm21425	ENSMUSG00000096820
Olfr1238	ENSMUSG00000075089
Gm14809	ENSMUSG00000085053
Gm11898	ENSMUSG00000083835
Glt1d1	ENSMUSG00000049971
Gm14275	ENSMUSG00000085949
Gm14812	ENSMUSG00000073051
Gm14273	ENSMUSG00000085905
Glis2	ENSMUSG00000014303
S100a8	ENSMUSG00000056054
Clec1a	ENSMUSG00000033082
Gm42564	ENSMUSG00000105183
Med31	ENSMUSG00000020801
Fam98c	ENSMUSG00000030590
Gm42565	ENSMUSG00000104928
Gm26761	ENSMUSG00000097668
Gm16164	ENSMUSG00000089909
Tmem169	ENSMUSG00000026188
Gm2976	ENSMUSG00000090067
Gm16165	ENSMUSG00000089958
Gm14808	ENSMUSG00000085553
Pam16	ENSMUSG00000014301
Pydc4	ENSMUSG00000073491
Tmbim7	ENSMUSG00000014529
Clca2	ENSMUSG00000036960
4930563E22Rik	ENSMUSG00000053574
Zfp958	ENSMUSG00000058748
Atmin	ENSMUSG00000047388
Napsa	ENSMUSG00000002204
Gm12273	ENSMUSG00000084805
Nipsnap1	ENSMUSG00000034285
Gm19587	ENSMUSG00000100701
Gm37244	ENSMUSG00000102470
Gm15510	ENSMUSG00000086604
Gm28935	ENSMUSG00000100392
Gm21631	ENSMUSG00000103323
Gm7375	ENSMUSG00000095423
Raver2	ENSMUSG00000035275
Zfp524	ENSMUSG00000051184
Gcsh	ENSMUSG00000034424
Abca8a	ENSMUSG00000041828
Slc15a4	ENSMUSG00000029416
Gm16301	ENSMUSG00000089643
Siglecg	ENSMUSG00000030468
Ssbp1	ENSMUSG00000029911
Zfp580	ENSMUSG00000055633
Fam210b	ENSMUSG00000027495
2610034O05Rik	ENSMUSG00000104429
Ptcd1	ENSMUSG00000029624
Gm37252	ENSMUSG00000103474
Onecut3	ENSMUSG00000045518
Gramd2	ENSMUSG00000074259
1110035H17Rik	ENSMUSG00000099098
Gm16282	ENSMUSG00000090009
Gm12481	ENSMUSG00000043770
Ccdc106	ENSMUSG00000035228
Cbfa2t2	ENSMUSG00000038533
Rtn2	ENSMUSG00000030401
Kif1a	ENSMUSG00000014602
Oasl1	ENSMUSG00000041827
Gm12785	ENSMUSG00000082928
Ubash3a	ENSMUSG00000042345
Gm14858	ENSMUSG00000085568
Jak1	ENSMUSG00000028530
Bud31	ENSMUSG00000038722
Olfr1239	ENSMUSG00000075088
Strip2	ENSMUSG00000039629
Hdac8	ENSMUSG00000067567
Gm5812	ENSMUSG00000051639
9430092D12Rik	ENSMUSG00000102205
Gm15590	ENSMUSG00000058542
Gm37606	ENSMUSG00000103851
Arl16	ENSMUSG00000057594
Pex1	ENSMUSG00000005907
Aurka	ENSMUSG00000027496
Gm31258	ENSMUSG00000102289
Gm37241	ENSMUSG00000102575
Gm37063	ENSMUSG00000103805
Tulp4	ENSMUSG00000034377
Gm37694	ENSMUSG00000102562
Gm37466	ENSMUSG00000103972
9430053O09Rik	ENSMUSG00000102344
Gm37409	ENSMUSG00000103495
Hspa4	ENSMUSG00000020361
Siae	ENSMUSG00000001942
Gm11217	ENSMUSG00000085032
Bcas3os2	ENSMUSG00000085514
Gm13822	ENSMUSG00000087477
Bcas3os1	ENSMUSG00000086199
Gm43474	ENSMUSG00000105362
Ncoa2	ENSMUSG00000005886
Gm8241	ENSMUSG00000101395
Gm7219	ENSMUSG00000081526
Fiz1	ENSMUSG00000061374
Zfp667	ENSMUSG00000054893
Pax4	ENSMUSG00000029706
Gm17477	ENSMUSG00000084917
Ifit1bl2	ENSMUSG00000067297
Gm20648	ENSMUSG00000093779
Zfp777	ENSMUSG00000071477
Cfi	ENSMUSG00000058952
Pcyox1	ENSMUSG00000029998
Ms4a4a	ENSMUSG00000101389
Senp6	ENSMUSG00000034252
Ifit1	ENSMUSG00000034459
Ncaph2	ENSMUSG00000008690
Atp6v0c	ENSMUSG00000024121
Klf3	ENSMUSG00000029178
Gm3765	ENSMUSG00000086261
Gm38159	ENSMUSG00000104522
Olfr1240	ENSMUSG00000099909
Gm21440	ENSMUSG00000103468
Gm21454	ENSMUSG00000093903
Ccdc137	ENSMUSG00000049957
Rbmxl2	ENSMUSG00000073894
Gm37147	ENSMUSG00000103176
Trav7-4	ENSMUSG00000094766
Pik3cg	ENSMUSG00000020573
Ap2m1	ENSMUSG00000022841
Olfr1241	ENSMUSG00000075086
Gm11824	ENSMUSG00000082128
Pyhin1	ENSMUSG00000043263
1700120G11Rik	ENSMUSG00000086068
2700049A03Rik	ENSMUSG00000034601
Tbc1d24	ENSMUSG00000036473
Prickle1	ENSMUSG00000036158
Gm11836	ENSMUSG00000081239
Poldip2	ENSMUSG00000001100
Ikbkg	ENSMUSG00000004221
Clec4a4	ENSMUSG00000059639
C230096K16Rik	ENSMUSG00000106205
Gm13536	ENSMUSG00000085742
Bap1	ENSMUSG00000021901
Gm20033	ENSMUSG00000097640
Tril	ENSMUSG00000043496
Trmt2a	ENSMUSG00000022721
Polr2k	ENSMUSG00000045996
Gm28902	ENSMUSG00000100556
Zfp865	ENSMUSG00000074405
Resp18	ENSMUSG00000033061
Gm11803	ENSMUSG00000081913
Pydc3	ENSMUSG00000066677
Gm37832	ENSMUSG00000081537
Platr28	ENSMUSG00000057215
Gm11801	ENSMUSG00000081388
Pja1	ENSMUSG00000034403
Clec4b1	ENSMUSG00000030147
Gm13196	ENSMUSG00000083378
Olfr1242	ENSMUSG00000075085
Zfp784	ENSMUSG00000043290
Cic	ENSMUSG00000005442
Clec7a	ENSMUSG00000079293
Zfp790	ENSMUSG00000011427
Gm8919	ENSMUSG00000098085
Cstf1	ENSMUSG00000027498
Tbrg1	ENSMUSG00000011114
Slc26a7	ENSMUSG00000040569
Gm7461	ENSMUSG00000048484
Gm6410	ENSMUSG00000097308
S100a9	ENSMUSG00000056071
Tmem98	ENSMUSG00000035413
Gm18752	ENSMUSG00000103105
Rapgefl1	ENSMUSG00000038020
Gm6253	ENSMUSG00000071237
Ncoa4	ENSMUSG00000056234
Fam72a	ENSMUSG00000055184
Cabp2	ENSMUSG00000024857
Olfr1243	ENSMUSG00000075084
Gm7871	ENSMUSG00000103051
1810026B05Rik	ENSMUSG00000101970
Olfr1245	ENSMUSG00000100601
Mcu	ENSMUSG00000009647
C630004M23Rik	ENSMUSG00000103570
Olfr1246	ENSMUSG00000100828
Gm13262	ENSMUSG00000075534
Gm18330	ENSMUSG00000106141
Abt1	ENSMUSG00000036376
1700109H08Rik	ENSMUSG00000008307
Gm16401	ENSMUSG00000072962
Taf3	ENSMUSG00000025782
Kif21b	ENSMUSG00000041642
Gm42716	ENSMUSG00000105264
Plxnb3	ENSMUSG00000031385
Tpbgl	ENSMUSG00000096606
C230035I16Rik	ENSMUSG00000085024
Syt9	ENSMUSG00000062542
Mavs	ENSMUSG00000037523
Gm10605	ENSMUSG00000097974
Hspb7	ENSMUSG00000006221
Gm42579	ENSMUSG00000105819
Rgsl1	ENSMUSG00000042641
Gm42776	ENSMUSG00000105889
Tpcn2	ENSMUSG00000048677
Igsf5	ENSMUSG00000000159
Tas2r137	ENSMUSG00000052850
Gm42593	ENSMUSG00000104595
Unc79	ENSMUSG00000021198
Prom1	ENSMUSG00000029086
Lrfn2	ENSMUSG00000040490
Vmn2r85	ENSMUSG00000092048
Tas2r108	ENSMUSG00000037140
4833413G10Rik	ENSMUSG00000104950
Gm5284	ENSMUSG00000106117
2510017J16Rik	ENSMUSG00000104891
Bank1	ENSMUSG00000037922
Vmn2r86	ENSMUSG00000092162
Cass4	ENSMUSG00000074570
Rbm48	ENSMUSG00000040302
Phox2b	ENSMUSG00000012520
Panx3	ENSMUSG00000011118
Pla2g12a	ENSMUSG00000027999
Crip2	ENSMUSG00000006356
Gm12201	ENSMUSG00000083156
Gm12202	ENSMUSG00000080918
Gm15738	ENSMUSG00000087526
Chd2	ENSMUSG00000078671
Heatr3	ENSMUSG00000031657
Mkl2	ENSMUSG00000009569
Eef1d	ENSMUSG00000055762
Olfr1247	ENSMUSG00000075081
Rpl27a	ENSMUSG00000046364
Pglyrp4	ENSMUSG00000042250
Aggf1	ENSMUSG00000021681
Gatad1	ENSMUSG00000007415
Selm	ENSMUSG00000075702
Cpvl	ENSMUSG00000052955
Vmn2r87	ENSMUSG00000091511
Smim7	ENSMUSG00000044600
Gm694	ENSMUSG00000070637
Gm37702	ENSMUSG00000104170
Gm37870	ENSMUSG00000102177
Gm38120	ENSMUSG00000103085
Gm38223	ENSMUSG00000102639
Gm8707	ENSMUSG00000098093
Gm13924	ENSMUSG00000084167
Gm38376	ENSMUSG00000103506
Mterf1b	ENSMUSG00000053178
Gm38380	ENSMUSG00000102664
Gm13925	ENSMUSG00000081746
Gcnt7	ENSMUSG00000074569
Gm43825	ENSMUSG00000105130
Gm10745	ENSMUSG00000104015
Gm38062	ENSMUSG00000104488
Gm5281	ENSMUSG00000105244
Lsm12	ENSMUSG00000020922
Glul	ENSMUSG00000026473
Gm43602	ENSMUSG00000105937
Itgb2l	ENSMUSG00000000157
1700016G22Rik	ENSMUSG00000100625
Gm43603	ENSMUSG00000104710
Gm13251	ENSMUSG00000070605
Gm14455	ENSMUSG00000087633
Kcnc3	ENSMUSG00000062785
Gm5841	ENSMUSG00000103921
Rtfdc1	ENSMUSG00000027502
Olr1	ENSMUSG00000030162
Gm13241	ENSMUSG00000073716
Gm14363	ENSMUSG00000082975
Gm13245	ENSMUSG00000081998
1700003N22Rik	ENSMUSG00000102463
Dph2	ENSMUSG00000028540
Tox	ENSMUSG00000041272
Gm12732	ENSMUSG00000082646
2210420H20Rik	ENSMUSG00000101773
Gm28465	ENSMUSG00000101540
Taok2	ENSMUSG00000059981
Rps3a2	ENSMUSG00000062611
Gm12733	ENSMUSG00000081543
1700095A21Rik	ENSMUSG00000086046
Avpr1b	ENSMUSG00000026432
Gm1401	ENSMUSG00000082217
Gm9274	ENSMUSG00000098095
Gm13247	ENSMUSG00000056300
Gm8343	ENSMUSG00000097946
Rbsn	ENSMUSG00000014550
Tmem259	ENSMUSG00000013858
Ssbp2	ENSMUSG00000003992
Pkd1l2	ENSMUSG00000034416
Pcdh20	ENSMUSG00000050505
Olfr1248	ENSMUSG00000099356
Gm8532	ENSMUSG00000095841
Sis	ENSMUSG00000027790
Gm29050	ENSMUSG00000101133
Clk1	ENSMUSG00000026034
Gm35013	ENSMUSG00000105892
Olfr1249	ENSMUSG00000075079
Gpr61	ENSMUSG00000046793
Noct	ENSMUSG00000023087
Teddm1b	ENSMUSG00000043282
Tmem242	ENSMUSG00000004945
Slc16a12	ENSMUSG00000009378
Gm38352	ENSMUSG00000102459
Olfr884	ENSMUSG00000095893
1700008K24Rik	ENSMUSG00000101012
Teddm2	ENSMUSG00000045968
1600002H07Rik	ENSMUSG00000024118
Gm37129	ENSMUSG00000103894
Gm11802	ENSMUSG00000086052
G6pdx	ENSMUSG00000031400
Olfr1250	ENSMUSG00000075078
1700095A13Rik	ENSMUSG00000100430
AI607873	ENSMUSG00000073490
Zbtb43	ENSMUSG00000026788
Teddm1a	ENSMUSG00000047053
Cdca2	ENSMUSG00000048922
Fzd1	ENSMUSG00000044674
Ranbp1	ENSMUSG00000005732
Pcp4	ENSMUSG00000090223
Clec4a2	ENSMUSG00000030148
Zfp583	ENSMUSG00000030443
